controller,fault_t0_s,mean_err_pre,mean_err_fault,mean_err_post,max_err_fault,recovery_time_s,connectivity_pre,connectivity_fault,connectivity_post,task_completion_pre,task_completion_fault,task_completion_post,control_effort_pre,control_effort_fault,control_effort_post,control_smoothness_pre,control_smoothness_fault,control_smoothness_post,system_utility_pre,system_utility_fault,system_utility_post,err_fault_vs_pre_pct,err_post_vs_pre_pct,conn_fault_vs_pre_pct,conn_post_vs_pre_pct,task_fault_vs_pre_pct,task_post_vs_pre_pct,utility_fault_vs_pre_pct,utility_post_vs_pre_pct,utility_fault_delta,utility_post_delta,utility_fault_abs_degradation_pct,utility_post_abs_degradation_pct
openloop,25.0,47.376499351684714,47.99877612307498,51.73622252593573,91.48245826057324,0.0,0.0,0.0,0.19722222222222224,0.0,0.0,0.0,1137775265.9431617,1100546499.9707782,1072262111.1010785,10573.762270861655,11040.711760017273,11235.432325740798,-75.36717200786569,-76.86092516090353,-87.8822939295128,1.3134714044002918,9.202290658682836,,,,,1.9819678956269557,16.605534728490234,-1.4937531530378436,-12.515121921647108,1.9819678956269557,16.605534728490234
pid,25.0,25.93153179763606,51.39156626455791,51.17667959979662,84.81673303105921,,0.25416666666666665,0.0,0.0,0.0,0.0,0.003472222222222222,978048229.3634,930610773.8878154,900098777.857902,9908.721590728583,11527.795765374503,9705.089959905106,-44.13102562181091,-79.19454369428668,-96.0858242891205,98.18176059018158,97.35309120636647,-100.0,-100.0,,,79.45321364828261,117.7285094449106,-35.063518072475766,-51.95479866730958,79.45321364828261,117.7285094449106
agentic,25.0,34.46826889299406,46.228311531373805,35.84259801993733,74.60523914967726,0.0,0.3375,0.0,0.0,0.0,0.0,0.0,963447967.4030702,896418911.502611,905150625.1627223,12079.303033731303,10721.984883188385,12243.525543864,-50.56349003016723,-74.7688197079345,-60.88978042846481,34.11846030007635,3.987229910529707,-100.0,-100.0,,,47.87116091734543,20.42242414860347,-24.205329677767267,-10.32629039829758,47.87116091734543,20.42242414860347
