controller,wind_phase,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,0.0,14.73936328499883,27.721220717794914,5.699410019978652,0.83375,0.006354166666666666,-16.27002330497748,382943475.1670119,283.223932823745
openloop,1.0,36.04872040118765,78.91363946082977,12.273314458131697,0.5946527777777778,0.0009722222222222222,-45.34877097043046,1052563819.7938967,11812.233916454185
openloop,2.0,64.44279903785238,121.95586291322127,21.087123734972344,0.49497916666666664,0.0,-83.0550269394914,1012563990.9277321,11837.506502639568
pid,0.0,12.596211825937734,24.872864049774115,3.27763445047852,1.0,0.025807291666666666,-10.873846276416256,379460846.18831635,345.78702168322604
pid,1.0,32.45998996714097,81.30991555282017,11.82192446919549,0.6671875,0.0009722222222222222,-40.945976936336464,901860225.9910196,11732.511202674972
pid,2.0,61.85623924408465,149.5595663291612,31.837027388309412,0.46247916666666666,0.0,-91.38087079906072,860828654.6757158,10635.629118840798
agentic,0.0,12.591553370282165,24.279949028711616,3.3348393351447214,1.0,0.03203125,-10.926392705426887,379082765.671168,342.31911282542063
agentic,1.0,31.711568527184294,75.92167517827322,11.407789691450896,0.6322916666666667,0.000625,-39.957899885301856,911733977.1418626,11934.72914352409
agentic,2.0,62.34653237683072,144.24365711398903,28.446488306998525,0.42297916666666663,0.0,-88.67812485049592,865155097.8261681,11041.301166285932
