method,mean_error_improvement_pct,rmse_improvement_pct,post_error_improvement_pct,peak_fault_improvement_pct,connectivity_improvement_pct
PID + Comm Bias,12.016497068917932,12.895343139555294,8.726418233015211,24.917911346556238,20.152180001867222
PID + Formation Scaling,19.484113181988285,21.776997325697494,12.868174651517112,26.340611602165776,8.49593875455138
PID + Full Agentic,24.794937671460193,26.015470508383437,21.688634898398497,33.73824104059329,9.298851647838676
PID + Ref Shift,15.90726633164094,19.742665822658548,12.103763020030797,22.964652145564152,-0.40145644664364044
