controller,wind_phase,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,0.0,19.465556802524297,34.841640691285875,8.746242749551154,0.6901041666666666,0.0005208333333333333,-24.761278718742116,365248904.5403486,107.06437786974035
pid,0.0,14.087475681542582,25.574307963100352,3.236062024411742,0.9375,0.015625,-12.636037705954323,365560450.14438933,128.48596846663287
agentic,0.0,13.213782296271233,25.223081674694427,3.878326436807266,0.9375,0.03107638888888889,-12.404608733078499,364650822.13766223,116.93268445541524
