controller,fault_window,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,pre,13.08569415011712,28.091759235130844,8.83328475471415,0.75,0.0,-18.168978904831267,356477056.35999995,0.0
openloop,fault,20.775013888581743,30.397165932895692,8.833256165028388,0.5,0.0,-27.10827005361013,356477056.35999995,0.0
openloop,post,21.35474110321354,34.841477470861754,8.833226901070764,0.5,0.0,-27.687968004284304,356477056.35999995,0.0
pid,pre,7.212052977334667,14.786191450629987,3.2596246993928406,1.0,0.0625,-5.471677676727508,356477056.35999995,0.0
pid,fault,15.442715000294879,24.432565541384083,3.2596656797101677,0.75,0.0,-14.952380680005048,356477056.35999995,0.0
pid,post,16.120760278735524,25.574307963100352,3.259783094721714,0.75,0.0,-15.630543373457241,356477056.35999995,0.0
agentic,pre,6.409874240567181,14.349507309379954,3.686199306938824,1.0,0.10833333333333334,-5.0960735475060055,356477056.35999995,0.0
agentic,fault,14.503642933622682,24.721735176062385,3.793046191495408,0.75,0.0,-14.54668912511809,356477056.35999995,0.0
agentic,post,15.299190231652956,25.2206681249944,4.085575275401323,0.75,0.0,-15.63476550705428,356477056.35999995,0.0
