method,mean_error_m_mean,rmse_m_mean,connectivity_mean,post_error_m_mean,peak_fault_error_m_mean,control_effort_mean,control_smoothness_mean
PID,40.86930491694301,47.638255922819795,0.37190972222222224,47.22290322794165,74.02727922059434,909396965.642363,11186.13122257006
PID + Comm Bias,35.95824608951142,41.49513935587266,0.44685763888888885,43.10203519049942,55.58122741213899,905559820.0362486,11060.010139875527
PID + Formation Scaling,32.90628329023393,37.2640742044984,0.4035069444444444,41.14617756505321,54.52804112144681,903765164.6066118,10914.94603547212
PID + Full Agentic,41.05585213378076,48.76374037322415,0.37444444444444447,50.64000146898949,68.61634496270396,908566910.4013882,11090.299942890992
PID + Ref Shift,34.36811573591446,38.23319425223464,0.37041666666666667,41.50715493005312,57.027172054759355,892497294.9732555,10859.733626757437
