method,mean_error_m_mean,mean_error_m_std,rmse_m_mean,rmse_m_std,connectivity_mean,connectivity_std,formation_error_rel_mean,formation_error_rel_std,control_effort_mean,control_effort_std,control_smoothness_mean,control_smoothness_std,pre_error_m_mean,pre_error_m_std,fault_error_m_mean,fault_error_m_std,post_error_m_mean,post_error_m_std,peak_fault_error_m_mean,peak_fault_error_m_std,connectivity_pre_mean,connectivity_pre_std,connectivity_fault_mean,connectivity_fault_std,connectivity_post_mean,connectivity_post_std
PID,40.86930491694301,14.571565453801789,47.638255922819795,21.889946551288958,0.37190972222222224,0.10041554332085473,21.17418978199419,8.913253557385865,909396965.642363,18229939.54361411,11186.13122257006,259.7885827812244,36.6402807466675,4.02387453642602,35.93395317555035,6.561802219983925,47.22290322794165,16.766994948070067,74.02727922059434,12.1972921687649,0.2875,0.2687742237145023,0.26479166666666665,0.2734869994878895,0.15520833333333334,0.10212849766212279
comm_bias_only,35.95824608951142,12.958583980776211,41.49513935587266,16.981428344610915,0.44685763888888885,0.12634535043076417,16.284303923489045,6.583096946139669,905559820.0362486,7754039.756528901,11060.010139875527,549.0983694487086,33.809985839921936,8.18960828767376,31.90167471963614,10.327249348335966,43.10203519049942,20.30620181303864,55.58122741213899,11.355627457096457,0.5675,0.17873221308162543,0.16208333333333336,0.12003507878486559,0.13583333333333333,0.11511382877999016
formation_scaling_only,32.90628329023393,13.984713140700128,37.2640742044984,17.698337203907787,0.4035069444444444,0.07914597625732904,14.771574755973159,2.9188516765048766,903765164.6066118,25215962.273619816,10914.94603547212,766.7817552015592,32.2974479638267,11.944191082798005,29.79065452667977,14.643800440559477,41.14617756505321,24.036419002233448,54.52804112144681,24.067637146501188,0.4177083333333334,0.20751009220771785,0.12125000000000001,0.22418544685891933,0.09416666666666666,0.09007134517826533
full_agentic,41.05585213378076,16.71555332019081,48.76374037322415,23.60911564070383,0.37444444444444447,0.14199986188281868,22.683476479447233,10.720053997045243,908566910.4013882,14467229.196446309,11090.299942890992,271.2364765539208,35.406891976091394,9.368482012631635,33.14769788864047,13.79311059103996,50.64000146898949,27.395935469163145,68.61634496270396,22.776917111404874,0.3477083333333334,0.30409566808361843,0.180625,0.2180290699590819,0.20229166666666668,0.22804935960591222
ref_shift_only,34.36811573591446,12.183247549165916,38.23319425223464,15.158981445315513,0.37041666666666667,0.10744293248996337,15.129156591497653,4.753935494067593,892497294.9732555,11081225.629699945,10859.733626757437,495.06239699405734,37.10241214194343,12.61356348384837,32.546998093683115,11.259596386553829,41.50715493005312,17.677872862632366,57.027172054759355,16.25072874990061,0.38895833333333324,0.22456748552619,0.12,0.10520936468141354,0.17822916666666666,0.08486099745400645
