t,wind_phase,mean_err_m,max_err_m,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,throughput_ratio,latency_proxy,control_overhead,control_effort,control_smoothness,task_reassign,task_cost_mean,failed_count,alive_ratio,task_completion_proxy,system_utility,fault_comm_scale,fault_dropout_count,fault_sensor_count,agentic_active,agentic_ref_shift,supervisor_active,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold,sat_frac
28.979166666666668,1.0,37.36760493708959,61.73384320461287,37.36760493708959,61.73384320461287,37.30890388750288,61.73384320461287,20.63532834912033,0.5,0.0,1.0,0.16666666666666666,1050037453.4010305,22821.768233536823,0.0,37.36760493708959,0.0,1.0,0.0,-55.50293328620992,1.0,0.0,0.0,0.0,1.7622023144403216,0.0,0.0,0.0,1.0,1.0,0.0,0.5
29.0,1.0,37.3318929146588,61.82558177365383,37.3318929146588,61.82558177365383,37.27317141023204,61.82558177365383,20.662487156048467,0.5,0.0,1.0,0.16666666666666666,745811835.4134,7619.1812063748275,0.0,37.3318929146588,0.0,1.0,0.0,-55.494380070707265,1.0,0.0,0.0,0.0,1.7626071964991468,0.0,0.0,0.0,1.0,1.0,0.0,0.25
29.020833333333332,1.0,37.28672581910104,61.92081745379207,37.28672581910104,61.92081745379207,37.228099713514645,61.92081745379207,20.678920584302723,0.5,0.0,1.0,0.16666666666666666,1058459800.9134845,16377.509061305947,0.0,37.28672581910104,0.0,1.0,0.0,-55.46564640340376,1.0,0.0,0.0,0.0,1.7628331206491272,0.0,0.0,0.0,1.0,1.0,0.0,0.29576819096070106
29.041666666666668,1.0,37.236614364664014,61.9643951958336,37.236614364664014,61.9643951958336,37.177672159001645,61.9643951958336,20.693854308340626,0.5,0.0,1.0,0.16666666666666666,1641909268.139925,10087.397070566169,0.0,37.236614364664014,0.0,1.0,0.0,-55.43046867300464,1.0,0.0,0.0,0.0,1.7634113319434594,0.0,0.0,0.0,1.0,1.0,0.0,1.0
29.0625,1.0,37.18765997288668,61.96265239422005,37.18765997288668,61.96265239422005,37.12833491077364,61.96265239422005,20.714469909055644,0.5,0.0,1.0,0.16666666666666666,678305064.8981874,17637.728900558664,0.0,37.18765997288668,0.0,1.0,0.0,-55.40212988194232,1.0,0.0,0.0,0.0,1.7640346061932994,0.0,0.0,0.0,1.0,1.0,0.0,0.25
29.083333333333332,1.0,37.13483980369825,61.96110947726755,37.13483980369825,61.96110947726755,37.0754925121923,61.96110947726755,20.726039028701237,0.5,0.0,1.0,0.16666666666666666,960310197.7555285,7727.195901823431,0.0,37.13483980369825,0.0,1.0,0.0,-55.360878832399486,1.0,0.0,0.0,0.0,1.7641535091764722,0.0,0.0,0.0,1.0,1.0,0.0,0.5
29.104166666666668,1.0,37.11098936857338,62.0187008316372,37.11098936857338,62.0187008316372,37.05140050850815,62.0187008316372,20.755076998874195,0.5,0.0,1.0,0.16666666666666666,736792739.5402564,16364.677242301505,0.0,37.11098936857338,0.0,1.0,0.0,-55.36606636744757,1.0,0.0,0.0,0.0,1.7646997601312173,0.0,0.0,0.0,1.0,1.0,0.0,0.25
29.125,1.0,37.1120457383516,62.131529395712214,37.1120457383516,62.131529395712214,37.05232885170838,62.131529395712214,20.78693509206497,0.5,0.0,1.0,0.16666666666666666,736792739.5402564,12226.147500000003,0.0,37.1120457383516,0.0,1.0,0.0,-55.39898083041656,1.0,0.0,0.0,0.0,1.765064841938634,0.0,0.0,0.0,1.0,1.0,0.0,0.25
29.145833333333332,1.0,37.12107649156654,62.26179362608969,37.12107649156654,62.26179362608969,37.15094835112167,62.44151448530816,20.82827152539494,0.0,0.0,inf,0.0,1118959073.4459345,16538.597551992025,0.0,37.12107649156654,0.0,1.0,0.0,-57.94934801696148,1.0,0.0,0.0,0.0,1.8211352259749847,0.0,0.0,0.0,1.0,1.0,0.0,0.5
29.166666666666668,1.0,37.13945454970558,62.41264261863654,37.13945454970558,62.41264261863654,37.169444828740815,62.592369552715766,20.876366321442582,0.0,0.0,inf,0.0,693237012.5204996,16003.247505934518,0.0,37.13945454970558,0.0,1.0,0.0,-58.015820871148165,1.0,0.0,0.0,0.0,1.8213815744839308,0.0,0.0,0.0,1.0,1.0,0.0,0.25
29.1875,1.0,37.158020421526906,62.56655305027864,37.158020421526906,62.56655305027864,37.18812954532467,62.74631826574234,20.921669130867535,0.0,0.0,inf,0.0,942758396.2840213,4634.056661996233,0.0,37.158020421526906,0.0,1.0,0.0,-58.07968955239444,1.0,0.0,0.0,0.0,1.8218444368766538,0.0,0.0,0.0,1.0,1.0,0.0,0.5
29.208333333333332,1.0,37.162059862994184,62.69141584760612,37.162059862994184,62.69141584760612,37.19237250596386,62.871205385546205,20.97562824413339,0.0,0.0,inf,0.0,1048534061.6655774,10982.298769804547,0.0,37.162059862994184,0.0,1.0,0.0,-58.13768810712757,1.0,0.0,0.0,0.0,1.8221723114515727,0.0,0.0,0.0,1.0,1.0,0.0,0.5
29.229166666666668,1.0,37.162300931426984,62.84338007836715,37.162300931426984,62.84338007836715,37.19285869554215,63.02319813370676,21.039316564094015,0.0,0.0,inf,0.0,1000415757.8914897,12977.412728436746,0.0,37.162300931426984,0.0,1.0,0.0,-58.201617495521,1.0,0.0,0.0,0.0,1.8225350622818381,0.0,0.0,0.0,1.0,1.0,0.0,0.5
29.25,1.0,37.15808646324969,63.005765799727335,37.15808646324969,63.005765799727335,37.18872498119501,63.18561363141277,21.106259381467023,0.0,0.0,inf,0.0,919669999.7981197,13496.882482065306,0.0,37.15808646324969,0.0,1.0,0.0,-58.264345844716715,1.0,0.0,0.0,0.0,1.82307534958789,0.0,0.0,0.0,1.0,1.0,0.0,0.5
