controller,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,agentic_active_rate,agentic_ref_shift_mean,supervisor_active_rate,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold_rate,throughput_ratio,latency_proxy,control_overhead,control_effort,control_smoothness,task_reassign_rate,task_cost_mean,alive_ratio,failed_count,task_completion_proxy,system_utility,mean_err_m,max_err_m
openloop,19.465556802524297,34.841640691285875,19.465556802524297,34.841640691285875,8.746242749551154,0.7526041666666666,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.010416666666666666,1.3304398148148149,0.33975694444444443,365248904.54034865,107.06437786974035,0.0,19.465556802524297,1.0,0.0,0.0005208333333333333,-24.448778718742116,19.465556802524297,34.841640691285875
pid,14.087475681542582,25.574307963100352,14.087475681542582,25.574307963100352,3.236062024411742,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0002893518518519,0.9997106481481481,365560450.14438945,128.4859684666329,0.0,14.087475681542582,1.0,0.0,0.015625,-12.323537705954324,14.087475681542582,25.574307963100352
agentic,13.213782296271233,25.223081674694427,13.215437989544094,25.223081674694427,3.878326436807265,1.0,0.03671875,0.9918564766274792,0.0,0.0,0.012513325669275613,1.0,1.0,0.0,1.0,1.1643518518518516,0.8356481481481481,364650822.13766235,116.93268445541524,0.004861111111111111,13.213782296271233,1.0,0.0,0.03107638888888889,-12.092108733078499,13.213782296271233,25.223081674694427
