controller,wind_phase,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,0.0,18.876340192328378,34.84133616156015,8.571653636763326,0.7578125,0.0015625,-23.658931329091708,382792600.9010459,321.41641698329767
openloop,1.0,47.7379756226206,102.95053991550704,17.07864721293562,0.21041666666666667,0.0,-63.76453950222289,1084715942.9030507,11165.248830285826
openloop,2.0,116.94495839273908,379.21640799398966,94.48733553324047,0.12291666666666666,0.0,-210.81771059264622,1043723075.8572495,10713.06604146682
pid,0.0,13.58061702805111,25.573769696839857,3.188522109158265,1.0,0.015625,-11.769139137209375,383727237.71316814,385.7258636240209
pid,1.0,45.64496673727253,121.73112444864066,9.10707384994867,0.6329861111111111,0.0,-51.58711003166565,948290006.3891946,12023.64235291141
pid,2.0,103.68103416033078,229.0944155088438,44.42487635195806,0.0,0.0,-148.10591051228883,915673619.5895714,10802.237784958652
agentic,0.0,12.694980316895778,25.223081674694427,3.8212800547349937,1.0,0.038802083333333334,-11.516260371630773,380998353.6929868,351.0419171503029
agentic,1.0,44.223810319273596,86.15811148656465,8.980328883456512,0.3454861111111111,0.0,-51.476708647174554,938190676.7569957,12322.382765573408
agentic,2.0,83.87671036744206,191.93378993095777,27.637202777891215,0.710625,0.0,-107.96078814533327,892336388.8315703,11309.532706211117
