Method,Mean Latency (ms),Effective Latency (ms),P95 Latency (ms),Throughput (bps),Throughput std-over-time,Throughput CV-over-time,Delivery rate (%),Packet loss (%)
static,929.56 ± 133.71,71718.03 ± 66845.68,1000.00 ± 0.00,782.67 ± 391.42,1487.96 ± 414.97,2.704 ± 1.857,76.33 ± 22.35,23.67 ± 22.35
marl_ctde,832.25 ± 466.01,5380.82 ± 3701.06,3000.00 ± 2932.58,12502.93 ± 2538.30,6836.66 ± 1254.54,0.565 ± 0.125,98.48 ± 1.14,1.52 ± 1.14
