t,wind_phase,mean_err_m,max_err_m,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,throughput_ratio,latency_proxy,control_overhead,task_reassign,task_cost_mean,failed_count,alive_ratio,task_completion_proxy,system_utility,fault_comm_scale,fault_dropout_count,fault_sensor_count,agentic_active,agentic_ref_shift,supervisor_active,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold,sat_frac
0.0,0.0,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,1.1403882032022077,1.0,1.0,1.0,1.0,0.0,7.3190429385894396,0.0,1.0,0.0,-3.4594311417916472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.020833333333333332,0.0,7.335715292511156,8.075282147786059,7.335715292511156,8.075282147786059,7.335715292511156,8.075282147786059,1.1466077415715359,1.0,1.0,1.0,1.0,0.0,7.335715292511156,0.0,1.0,0.0,-3.4823230340826914,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.041666666666666664,0.0,7.375865233292712,8.111622862372876,7.375865233292712,8.111622862372876,7.375865233292712,8.111622862372876,1.1633841671929732,1.0,1.0,1.0,1.0,0.0,7.375865233292712,0.0,1.0,0.0,-3.5392494004856854,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.0625,0.0,7.433235304870603,8.166659764542905,7.433235304870603,8.166659764542905,7.433235304870603,8.166659764542905,1.1824374278829106,1.0,1.0,1.0,1.0,0.0,7.433235304870603,0.0,1.0,0.0,-3.615672732753513,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.08333333333333333,0.0,7.511579948828667,8.24202742344751,7.511579948828667,8.24202742344751,7.511579948828667,8.24202742344751,1.2041402279327449,1.0,1.0,1.0,1.0,0.0,7.511579948828667,0.0,1.0,0.0,-3.715720176761412,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.10416666666666667,0.0,7.6228782351626885,8.339768328195271,7.6228782351626885,8.339768328195271,7.6228782351626885,8.339768328195271,1.2137371125899405,1.0,1.0,1.0,1.0,0.0,7.6228782351626885,0.0,1.0,0.0,-3.8366153477526286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.125,0.0,7.771533325308653,8.46249832327054,7.771533325308653,8.46249832327054,7.771533325308653,8.46249832327054,1.2094298040316358,1.0,1.0,1.0,1.0,0.0,7.771533325308653,0.0,1.0,0.0,-3.9809631293402887,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.14583333333333334,0.0,7.966148980612566,8.612817272990556,7.966148980612566,8.612817272990556,7.966148980612566,8.612817272990556,1.211265549066395,1.0,1.0,1.0,1.0,0.0,7.966148980612566,0.0,1.0,0.0,-4.177414529678961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.16666666666666666,0.0,8.168311370825235,8.844254580718424,8.168311370825235,8.844254580718424,8.168311370825235,8.844254580718424,1.2212650547112704,1.0,1.0,1.0,1.0,0.0,8.168311370825235,0.0,1.0,0.0,-4.3895764255365055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.1875,0.0,8.33611454742796,9.108210063098571,8.33611454742796,9.108210063098571,8.33611454742796,9.108210063098571,1.2297752075500887,1.0,1.0,1.0,1.0,0.0,8.33611454742796,0.0,1.0,0.0,-4.565889754978048,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.20833333333333334,0.0,8.502706195037852,9.373640205170874,8.502706195037852,9.373640205170874,8.502706195037852,9.373640205170874,1.2655585443545039,1.0,1.0,1.0,1.0,0.0,8.502706195037852,0.0,1.0,0.0,-4.768264739392356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.22916666666666666,0.0,8.658507609036695,9.62346870827572,8.658507609036695,9.62346870827572,8.658507609036695,9.62346870827572,1.317654639014604,1.0,1.0,1.0,1.0,0.0,8.658507609036695,0.0,1.0,0.0,-4.976162248051299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.25,0.0,8.785000742883007,9.837893205100091,8.785000742883007,9.837893205100091,8.785000742883007,9.837893205100091,1.3649008355981744,1.0,1.0,1.0,1.0,0.0,8.785000742883007,0.0,1.0,0.0,-5.149901578481181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
