Method,Pre Error,Post Error,Post vs Pre %,Connectivity Pre,Connectivity Post,Connectivity %,Utility Pre,Utility Post,Utility Δ
static,28.807696075280507,33.21102627984115,16.65987256108867,0.1666666666666666,0.1666666666666666,0.0,-0.43220000000000003,-0.7168999999999999,-0.28469999999999995
fixed_relay,92.89098641029993,66.03792028701305,-28.591398090074556,0.9720000000000001,1.0,2.908957132239814,6.566072652240638,9.230459114065592,2.664386461824952
greedy,38.236357979774475,19.701698616027834,-13.451359970342532,0.717,0.9653333333333334,40.2815000918355,15.450525179328077,21.057818946887586,5.60729376755951
mappo_full,101.07244850158692,84.0305784702301,-16.795952252684643,1.0,1.0,0.0,-0.6475,-0.9275,-0.2800000000000001
