controller,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,agentic_active_rate,agentic_ref_shift_mean,supervisor_active_rate,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold_rate,throughput_ratio,latency_proxy,control_overhead,task_reassign_rate,task_cost_mean,alive_ratio,failed_count,mean_err_m,max_err_m
openloop,43.28734175447507,414.7717856131375,43.28734175447507,414.7717856131375,23.3021180517286,0.30486979166666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.15621396689696807,inf,0.14469328703703702,0.0,43.28734175447507,1.0,0.0,43.28734175447507,414.7717856131375
pid,42.33002748045141,408.1668149828455,42.33002748045141,408.1668149828455,22.311726385456566,0.3537065972222222,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.18622558330047131,inf,0.16617476851851848,0.0,42.33002748045141,1.0,0.0,42.33002748045141,408.1668149828455
agentic,35.56208194088086,304.99353229806076,35.588808990435275,305.1735319527855,18.764881926925057,0.421171875,0.006510416666666667,1.7479061889815406,0.8479166666666667,2.3991666666666664,0.06995463261787095,0.9295416666666669,0.7756458333333334,0.14208333333333334,0.2444905745521973,inf,0.20993055555555556,0.004861111111111111,35.56208194088086,1.0,0.0,35.56208194088086,304.99353229806076
