controller,fault_t0_s,mean_err_pre,mean_err_fault,mean_err_post,max_err_fault,recovery_time_s
openloop,25.0,30.335720190087354,40.84015756195717,41.468286723804276,102.77923161198468,2.083333333333332
pid,25.0,28.25211404630359,37.84336016989871,39.94032566571156,93.94969515739407,4.0
agentic,25.0,22.61633304568112,30.58934112828716,33.506352544542075,80.13037946936409,4.0
