controller,fault_window,mean_err_m,max_err_m,formation_err_rel,connectivity_rate
openloop,pre,30.33572019008735,58.99695093642772,14.625617994064038,0.4446875
openloop,fault,40.84015756195717,70.04824090182767,16.503375616309317,0.36552083333333335
openloop,post,41.46828672380428,86.02304594651812,21.977110443398026,0.27239583333333334
pid,pre,28.252114046303593,56.96663671994586,14.021997256273163,0.3572916666666667
pid,fault,37.84336016989871,66.72268085899691,18.111772226398635,0.25979166666666664
pid,post,39.940325665711555,83.35322824142455,20.4329308590307,0.2634375
agentic,pre,22.61633304568112,46.521692884343096,10.98111125206999,0.47791666666666666
agentic,fault,30.589341128287163,53.43039930964782,13.59543517623222,0.42427083333333326
agentic,post,33.50635254454207,73.54960483815782,17.36758907829751,0.30770833333333336
