controller,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,agentic_active_rate,agentic_ref_shift_mean,supervisor_active_rate,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold_rate,throughput_ratio,latency_proxy,control_overhead,task_reassign_rate,task_cost_mean,alive_ratio,failed_count,mean_err_m,max_err_m
openloop,47.98710117223697,620.3464902499321,47.98710117223697,620.3464902499321,29.457263853063964,0.29637152777777775,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.15814075029282582,inf,0.14364583333333333,0.0,47.98710117223697,1.0,0.0,47.98710117223697,620.3464902499321
pid,42.53427233867954,381.50677248762145,42.53427233867954,381.50677248762145,20.641875482068613,0.34930555555555554,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.20206750830576653,inf,0.16392939814814814,0.0,42.53427233867954,1.0,0.0,42.53427233867954,381.50677248762145
agentic,31.86740387188266,508.51214029305584,31.899943094231766,508.69199475046025,16.831329353755383,0.3947395833333333,0.004869791666666666,1.611312590420592,0.8608333333333333,2.4391666666666665,0.06995361301595829,0.9281250000000001,0.7702708333333335,0.14083333333333334,0.2095989106130517,inf,0.2009780092592592,0.005138888888888889,31.86740387188266,1.0,0.0,31.86740387188266,508.51214029305584
