controller,wind_phase,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility
openloop,0.0,18.16348335802676,45.56610520785561,11.819262531252205,0.4544270833333333,0.005572916666666666,-27.710610472612302
openloop,1.0,50.93273061556757,159.4466687066876,24.556694599353158,0.32883333333333337,0.0015833333333333335,-73.84525854825407
openloop,2.0,101.89931330184193,295.6934057178027,67.46659673725858,0.20135416666666667,0.002361111111111111,-168.35913920576718
pid,0.0,18.53721462204846,42.87338503943742,10.415931360959735,0.5880208333333333,0.0019270833333333334,-26.013041816341524
pid,1.0,43.63231384973248,124.77056896638207,21.06382819021161,0.2883958333333333,0.0018958333333333334,-63.25416287327742
pid,2.0,74.0462070210485,173.16033192994377,41.1935610823259,0.16913194444444443,0.0014583333333333334,-114.39410838115218
agentic,0.0,15.319431088023908,40.01682571576928,8.825465021570604,0.6496614583333333,0.011848958333333333,-20.896588817927846
agentic,1.0,35.31050091670632,92.82242331691353,14.989032255192992,0.401375,0.00625,-48.292658171899305
agentic,2.0,63.48387684398244,158.29581832407223,32.208723436957975,0.32427083333333334,0.00125,-94.07124611427375
