controller,fault_t0_s,mean_err_pre,mean_err_fault,mean_err_post,max_err_fault,recovery_time_s,connectivity_pre,connectivity_fault,connectivity_post,task_completion_pre,task_completion_fault,task_completion_post,system_utility_pre,system_utility_fault,system_utility_post,err_fault_vs_pre_pct,err_post_vs_pre_pct,conn_fault_vs_pre_pct,conn_post_vs_pre_pct,task_fault_vs_pre_pct,task_post_vs_pre_pct,utility_fault_vs_pre_pct,utility_post_vs_pre_pct
openloop,25.0,30.335720190087354,36.49122013627463,41.639552788623966,91.48245826057324,0.0,0.4446875,0.19222222222222224,0.21232638888888888,0.0,0.0,0.0007638888888888888,-42.73790068415139,-52.5408577713739,-61.978145224098064,20.29126029517728,37.26245010075715,-56.7736394159444,-52.25267431873195,,,22.937385623290023,45.019161521617704
pid,25.0,28.25211404630359,35.89381965534759,41.33693331466332,84.81673303105921,4.0,0.3572916666666667,0.3109722222222222,0.28215277777777775,0.0032291666666666666,0.0,0.0003472222222222222,-40.48765296924342,-49.46816367893911,-60.594094321307225,27.048261225760616,46.31447843837266,-12.964042759961133,-21.030126336248795,-100.0,-89.24731182795699,22.180862685514935,49.66067400186849
agentic,25.0,22.61633304568112,30.398872454833413,31.826619306468274,95.65854645422829,4.0,0.47791666666666666,0.2091666666666667,0.31921875,0.0003125,0.0023611111111111107,0.0022395833333333334,-31.207860964417776,-46.415866081540976,-50.599598982066624,34.4111461103482,40.724047714472334,-56.23365300784654,-33.20619006102877,655.5555555555554,616.6666666666667,48.7313280921845,62.137350713522785
