controller,fault_t0_s,mean_err_pre,mean_err_fault,mean_err_post,max_err_fault,recovery_time_s,connectivity_pre,connectivity_fault,connectivity_post,task_completion_pre,task_completion_fault,task_completion_post,system_utility_pre,system_utility_fault,system_utility_post,err_fault_vs_pre_pct,err_post_vs_pre_pct,conn_fault_vs_pre_pct,conn_post_vs_pre_pct,task_fault_vs_pre_pct,task_post_vs_pre_pct,utility_fault_vs_pre_pct,utility_post_vs_pre_pct,utility_fault_delta,utility_post_delta,utility_fault_abs_degradation_pct,utility_post_abs_degradation_pct
openloop,30.0,40.16062942817721,36.571618305188885,56.59064840950836,91.49595446608846,0.0,0.42270833333333335,0.1353125,0.13125,0.0,0.0009375,0.002916666666666667,-54.184950790965075,-55.52981954566933,-86.60486586298616,-8.936640620652794,40.910760651085916,-67.98915722030557,-68.95022178413012,,,2.4819968184385703,59.83195444264731,-1.3448687547042582,-32.419915072021084,2.4819968184385703,59.83195444264731
pid,30.0,37.14551339971339,36.16138291502001,50.081679478416845,86.71194857768656,0.0,0.35854166666666665,0.23489583333333333,0.17760416666666667,0.0071875,0.0026041666666666665,0.0027604166666666667,-53.089364404197404,-52.316458174850126,-68.41373235012506,-2.649392603901841,34.82564890004528,-34.48576409064497,-50.464846019755946,-63.76811594202898,-61.59420289855072,-1.455858886278491,28.865231516533402,0.7729062293472779,-15.324367945927655,-1.455858886278491,28.865231516533402
agentic,30.0,32.30110533600883,29.542607701273447,43.92480800074114,90.3668077518935,0.0,0.28520833333333334,0.17010416666666667,0.16197916666666667,0.0,0.0032291666666666666,0.00921875,-46.661024943915315,-44.666754984751265,-63.94858619932721,-8.5399481102594,35.98546410043238,-40.357925493060634,-43.20672023374726,,,-4.273952322224133,37.049253153334824,1.9942699591640505,-17.287561255411894,-4.273952322224133,37.049253153334824
