controller,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,agentic_active_rate,agentic_ref_shift_mean
agentic,26.267529628264036,54.74851378471387,26.254211174295126,54.75292250206038,13.126158020249187,0.5432986111111111,1.0,0.14931275970853883
openloop,16.951491193932817,43.915238345587426,16.951491193932817,43.915238345587426,12.307651342991623,0.6526041666666667,0.0,0.0
pid,25.425236104629057,47.782139332831775,25.425236104629057,47.782139332831775,12.818958724185881,0.5264236111111111,0.0,0.0
