controller,fault_t0_s,mean_err_pre,mean_err_fault,mean_err_post,max_err_fault,recovery_time_s,connectivity_pre,connectivity_fault,connectivity_post,task_completion_pre,task_completion_fault,task_completion_post,system_utility_pre,system_utility_fault,system_utility_post,err_fault_vs_pre_pct,err_post_vs_pre_pct,conn_fault_vs_pre_pct,conn_post_vs_pre_pct,task_fault_vs_pre_pct,task_post_vs_pre_pct,utility_fault_vs_pre_pct,utility_post_vs_pre_pct
openloop,30.0,40.16062942817721,36.571618305188885,56.59064840950836,91.49595446608846,0.0,0.42270833333333335,0.1353125,0.13125,0.0,0.0009375,0.002916666666666667,-54.184950790965075,-55.52981954566933,-86.60486586298616,-8.936640620652794,40.910760651085916,-67.98915722030557,-68.95022178413012,,,2.4819968184385703,59.83195444264731
pid,30.0,37.14551339971339,36.16138291502001,50.081679478416845,86.71194857768656,0.0,0.35854166666666665,0.23489583333333333,0.17760416666666667,0.0071875,0.0026041666666666665,0.0027604166666666667,-53.089364404197404,-52.316458174850126,-68.41373235012506,-2.649392603901841,34.82564890004528,-34.48576409064497,-50.464846019755946,-63.76811594202898,-61.59420289855072,-1.455858886278491,28.865231516533402
agentic,30.0,35.80377088413673,34.63484579449539,47.25109930264743,176.5888529494526,0.0,0.4508333333333333,0.14916666666666667,0.15119791666666665,0.0,0.006875,0.0067708333333333336,-50.07323602548631,-52.41133758750652,-70.98237959132554,-3.2648099928470016,31.97240998875504,-66.91312384473197,-66.46256931608133,,,4.669363811098937,41.75712461482793
