controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility
openloop,"[0.0, 20.0)",18.187681703619894,46.229043607276566,11.836650846870688,0.45372395833333334,0.005520833333333333,-27.755712758823915
openloop,"[20.0, 40.0)",37.91966219622369,108.63467602623925,18.783051521829435,0.2910416666666667,0.0016927083333333332,-55.247505384719794
openloop,"[40.0, 60.0)",87.85395961686729,278.01296088894253,57.75208919049176,0.14434895833333333,0.00041666666666666664,-144.88430401569238
openloop,"[60.0, 80.0)",,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,
pid,"[0.0, 20.0)",18.55719764701445,42.138175954206915,10.44069931639007,0.5827604166666667,0.0017447916666666666,-26.084094880071188
pid,"[20.0, 40.0)",35.524105869233004,79.0556027791851,16.717847094133127,0.29919270833333333,0.004635416666666667,-50.74598942169946
pid,"[40.0, 60.0)",73.5215134997912,176.25590766867487,34.76708003568264,0.16596354166666666,0.00036458333333333335,-107.4587758271405
pid,"[60.0, 80.0)",,,,,,
pid,"[80.0, 1000000000.0)",,,,,,
agentic,"[0.0, 20.0)",15.370653739894298,39.77758391216791,8.810014020831474,0.6508072916666666,0.01015625,-20.926631302392437
agentic,"[20.0, 40.0)",27.65369113201761,75.76209288510458,14.725117195368913,0.26825520833333333,0.0021874999999999998,-41.037532285719855
agentic,"[40.0, 60.0)",52.57786674373607,128.00067672748224,26.958856845065753,0.26515625000000004,0.0010677083333333333,-78.21094233880183
agentic,"[60.0, 80.0)",,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,
