case,method,metric,mean,std,min,max
case_study_1,agentic,mean_tracking_error,33.298807235714634,8.361456994889014,17.45712427644393,48.094561478261426
case_study_1,agentic,max_tracking_error,106.29486122772187,41.80205623789202,62.23941072909288,189.2154446470581
case_study_1,agentic,rmse_tracking_error,36.7737135889663,9.801590226254914,19.313631741112115,55.94754779247109
case_study_1,agentic,steady_state_error,51.264236394342404,15.934651204949905,27.274578644955334,86.6356852102056
case_study_1,agentic,steady_state_max_error,60.473658479597304,16.32534036092756,38.2356163665248,95.531137582843
case_study_1,agentic,settling_time_s,0.0,0.0,0.0,0.0
case_study_1,agentic,peak_error,61.330640044231146,15.71923868001164,38.2356163665248,95.531137582843
case_study_1,agentic,error_variance,267.0369348994773,213.90137296081267,68.26518302808533,817.0412602045693
case_study_1,agentic,formation_error,17.234147235695445,4.960539718252634,9.667836138349054,25.281987504665246
case_study_1,agentic,connectivity_rate,0.42465909090909093,0.10352897476654847,0.215625,0.5749053030303031
case_study_1,agentic,throughput_ratio,0.2342453210211175,0.10735200242841567,0.08505164824092946,0.4445308009900343
case_study_1,agentic,control_overhead,0.21318813131313127,0.07244944928985186,0.11287878787878786,0.3609217171717171
case_study_1,agentic,task_completion_proxy,0.003428030303030303,0.003392331607212438,0.0,0.00946969696969697
case_study_1,agentic,system_utility,-48.40965901686462,11.698693670021878,-64.91932312969928,-24.25043389964147
case_study_1,agentic,sat_frac_mean,0.35892968641291606,0.011189262631390707,0.337424923105199,0.37279370926263344
case_study_1,agentic,sat_frac_max,1.0,0.0,1.0,1.0
case_study_1,agentic,oscillation_proxy,0.07476536722630366,0.005397728335614862,0.06847626571733216,0.08761555768699371
case_study_1,openloop,mean_tracking_error,37.17233441835977,15.884963278889499,16.792497275842436,68.98194148670258
case_study_1,openloop,max_tracking_error,139.49924765597,104.81881056623178,54.906670998938914,339.24634464029583
case_study_1,openloop,rmse_tracking_error,41.780066895556345,18.403785870364803,17.99647438301904,76.21989844786916
