controller,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,agentic_active_rate,agentic_ref_shift_mean,supervisor_active_rate,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold_rate,throughput_ratio,latency_proxy,control_overhead,task_reassign_rate,task_cost_mean,alive_ratio,failed_count,task_completion_proxy,system_utility,mean_err_m,max_err_m
openloop,50.86097543279569,683.7869320900234,50.86097543279569,683.7869320900234,30.640097544179103,0.28192708333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.14400349877161014,inf,0.13752314814814812,0.0,50.86097543279569,0.9583333333333334,0.16666666666666666,0.0023755787037037035,-80.29977089364148,50.86097543279569,683.7869320900234
pid,45.0994060773243,325.7945428284894,45.0994060773243,325.7945428284894,22.81578314544789,0.35583043981481477,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.19312791725264836,inf,0.17913773148148146,0.0,45.0994060773243,0.9583333333333334,0.16666666666666666,0.0016116898148148147,-66.34437035703144,45.0994060773243,325.7945428284894
agentic,33.19826289094789,278.79928420146393,33.22958436943765,278.9760670588822,17.2990902096309,0.3656944444444444,0.006559606481481481,1.636615750088057,0.8704166666666666,2.47625,0.0699546302190878,0.9263333333333336,0.7635000000000001,0.1325,0.21763296934243742,inf,0.19277199074074072,0.006145833333333333,33.19826289094789,0.9583333333333334,0.16666666666666666,0.006099537037037037,-48.87721421168991,33.19826289094789,278.79928420146393
