case,metric,pid_mean,agentic_mean,agentic_vs_pid_improvement_pct
case_study_1,mean_tracking_error,29.978470708292566,33.298807235714634,-11.075736850391122
case_study_1,max_tracking_error,111.30340393186604,106.29486122772187,4.499900746261217
case_study_1,rmse_tracking_error,32.986664441374415,36.7737135889663,-11.480545886421538
case_study_1,steady_state_error,46.63442722564482,51.264236394342404,-9.927878273910904
case_study_1,settling_time_s,,0.0,
case_study_1,formation_error,16.77233779159832,17.234147235695445,-2.7533993760157625
case_study_1,connectivity_rate,0.41444128787878787,0.42465909090909093,2.4654404204272904
case_study_3,mean_tracking_error,42.53427233867956,35.010707558810346,17.688241425556207
case_study_3,max_tracking_error,176.8892228785047,154.6638900653542,12.564548846718521
case_study_3,rmse_tracking_error,49.78590426794631,40.30004360744123,19.053305950721406
case_study_3,steady_state_error,78.15336938607535,60.086871370218475,23.116723127583803
case_study_3,settling_time_s,0.0,0.0,
case_study_3,formation_error,20.641875482068613,16.872731540326214,18.2596971143277
case_study_3,connectivity_rate,0.34930555555555565,0.43318576388888885,24.013419483101348
