controller,fault_t0_s,mean_err_pre,mean_err_fault,mean_err_post,max_err_fault,recovery_time_s,connectivity_pre,connectivity_fault,connectivity_post,task_completion_pre,task_completion_fault,task_completion_post,system_utility_pre,system_utility_fault,system_utility_post,err_fault_vs_pre_pct,err_post_vs_pre_pct,conn_fault_vs_pre_pct,conn_post_vs_pre_pct,task_fault_vs_pre_pct,task_post_vs_pre_pct,utility_fault_vs_pre_pct,utility_post_vs_pre_pct
openloop,18.0,19.21115411998189,25.05269694023408,39.65153431780182,100.01189177609665,0.0,0.40677083333333336,0.46791666666666665,0.3279166666666667,0.0030208333333333333,0.00375,0.0,-30.653904221983666,-36.52567006433275,-57.07402883578092,30.407037410502504,106.39850198567453,15.032010243277838,-19.3854033290653,24.137931034482758,-100.0,19.155034216287874,86.18844902258772
pid,18.0,20.1026983878695,22.360456863239218,33.57384375548544,60.277477158171216,0.0,0.48354166666666665,0.494375,0.3727083333333333,0.0028125,0.00125,0.0003125,-29.1452791487854,-32.494648528487,-45.4572491391282,11.231121473384444,67.01162753227591,2.240413614821204,-22.92115467470918,-55.55555555555556,-88.8888888888889,11.4919790701033,55.96779467120866
agentic,18.0,15.695171114318358,18.11178246407112,29.865560932378514,54.467828112718266,0.0,0.5852083333333333,0.5777083333333334,0.4175520833333333,0.0071875,0.001875,0.0011979166666666666,-21.846240563162063,-25.252640962097928,-41.87132091806836,15.39716472124436,90.28502916500747,-1.2815948736204972,-28.648985404058386,-73.91304347826087,-83.33333333333334,15.592615988491234,91.66373636237134
