controller,fault_window,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility
openloop,pre,40.16062942817722,66.85708542870096,16.13786302945452,0.4227083333333333,0.0,-54.18495079096506
openloop,fault,36.571618305188885,68.25951349881564,19.634763740480455,0.1353125,0.0009375,-55.52981954566934
openloop,post,56.590648409508354,148.2120760273064,30.670467453477812,0.13125,0.002916666666666667,-86.60486586298617
pid,pre,37.14551339971339,65.997456264577,17.736559337817344,0.35854166666666665,0.0071874999999999994,-53.0893644041974
pid,fault,36.16138291502001,65.70808351672513,17.329554426496777,0.23489583333333336,0.0026041666666666665,-52.316458174850126
pid,post,50.081679478416845,106.43651653736167,19.220073705041543,0.17760416666666665,0.0027604166666666667,-68.41373235012506
agentic,pre,32.301105336008824,60.1173624663969,15.785961274573157,0.28520833333333334,0.0,-46.661024943915315
agentic,fault,29.542607701273443,62.744916089536765,15.974668116811163,0.17010416666666667,0.003229166666666667,-44.66675498475127
agentic,post,43.92480800074114,108.21118382443979,20.83367403191941,0.16197916666666667,0.009218750000000001,-63.94858619932721
