t,wind_phase,mean_err_m,max_err_m,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,throughput_ratio,latency_proxy,control_overhead,control_effort,control_smoothness,task_reassign,task_cost_mean,failed_count,alive_ratio,task_completion_proxy,system_utility,fault_comm_scale,fault_dropout_count,fault_sensor_count,agentic_active,agentic_ref_shift,supervisor_active,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold,sat_frac
0.0,0.0,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,1.1403882032022077,1.0,1.0,1.0,1.0,855138982.6745985,,0.0,7.3190429385894396,0.0,1.0,0.0,-3.4594311417916472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.020833333333333332,0.0,7.317933940341519,8.053755612767505,7.317933940341519,8.053755612767505,7.317933940341519,8.053755612767505,1.1404415479839987,1.0,1.0,1.0,1.0,1877739789.0810254,14326.845134844476,0.0,7.317933940341519,0.0,1.0,0.0,-3.458375488325519,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.041666666666666664,0.0,7.275828706402948,8.006901875526491,7.275828706402948,8.006901875526491,7.275828706402948,8.006901875526491,1.1407580760213094,1.0,1.0,1.0,1.0,1877739789.0810254,0.0,0.0,7.275828706402948,0.0,1.0,0.0,-3.4165867824242575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.0625,0.0,7.102991651087137,7.833447677618246,7.102991651087137,7.833447677618246,7.102991651087137,7.833447677618246,1.1403484204952763,1.0,1.0,1.0,1.0,1877739789.0810254,0.0,0.0,7.102991651087137,0.0,1.0,0.0,-3.2433400715824128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.08333333333333333,0.0,6.741036277249664,7.469308104953582,6.741036277249664,7.469308104953582,6.741036277249664,7.469308104953582,1.136908175747704,1.0,1.0,1.0,1.0,1877739789.0810254,0.0,0.0,6.741036277249664,0.0,1.0,0.0,-2.877944452997369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.10416666666666667,0.0,6.190717770415837,6.904413069573155,6.190717770415837,6.904413069573155,6.190717770415837,6.904413069573155,1.1287680387616053,1.0,1.0,1.0,1.0,781873312.091374,17051.26719621019,0.0,6.190717770415837,0.0,1.0,0.0,-2.3194858091774426,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.125,0.0,5.549005245711706,6.1940278711324455,5.549005245711706,6.1940278711324455,5.549005245711706,6.1940278711324455,1.0935519036901076,1.0,1.0,1.0,1.0,356477056.35999995,7627.128335924635,0.0,5.549005245711706,0.0,1.0,0.0,-1.6425571494018136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.14583333333333334,0.0,4.914585364156368,5.447391751561052,4.914585364156368,5.447391751561052,4.914585364156368,5.447391751561052,1.0362306756637143,1.0,1.0,1.0,1.0,356477056.35999995,0.0,0.0,4.914585364156368,0.0,1.0,0.0,-0.950816039820082,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.16666666666666666,0.0,4.328609672940177,4.779118935185695,4.328609672940177,4.779118935185695,4.328609672940177,4.779118935185695,0.9811384214406988,1.0,1.0,1.0,1.0,356477056.35999995,0.0,0.0,4.328609672940177,0.0,1.0,0.0,-0.30974809438087547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.1875,0.0,3.812013681908791,4.327614450977793,3.812013681908791,4.327614450977793,3.812013681908791,4.327614450977793,0.9299545814723374,1.0,1.0,1.0,1.0,678330084.822064,6824.467503848275,0.0,3.812013681908791,0.0,1.0,0.0,0.2580317366188716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.20833333333333334,0.0,3.3803248600701847,3.9594179719166225,3.3803248600701847,3.9594179719166225,3.3803248600701847,3.9594179719166225,0.8871919476547176,1.0,1.0,1.0,1.0,1159169568.9208624,6749.270657563845,0.0,3.3803248600701847,0.0,1.0,0.0,0.7324831922750974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.22916666666666666,0.0,3.027229343143256,3.6597662762692247,3.027229343143256,3.6597662762692247,3.027229343143256,3.6597662762692247,0.84869591088342,1.0,1.0,1.0,1.0,736792739.5402564,7227.436697000853,0.0,3.027229343143256,0.0,1.0,0.0,1.1240747459733238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.25,0.0,2.7472347440132827,3.4760371185812726,2.7472347440132827,3.4760371185812726,2.7472347440132827,3.4760371185812726,0.8167193304984423,1.0,1.0,1.0,1.0,431682860.05969673,4476.417949777312,0.0,2.7472347440132827,0.0,1.0,0.0,1.436045925488275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.2708333333333333,0.0,2.588283445331229,3.4711076271923536,2.588283445331229,3.4711076271923536,2.588283445331229,3.4711076271923536,0.8339812891315661,1.0,1.0,1.0,1.0,356477056.35999995,1748.7157124475164,0.0,2.588283445331229,0.0,1.0,0.25,1.5777352655372052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.2916666666666667,0.0,2.6075170961952985,3.648249267139589,2.6075170961952985,3.648249267139589,2.6075170961952985,3.648249267139589,0.9613813281133858,1.0,1.0,1.0,1.0,736792739.5402563,6113.073750000001,0.0,2.6075170961952985,0.0,1.0,0.25,1.431101575691316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.3125,0.0,2.8149518294844365,3.9896646943126215,2.8149518294844365,3.9896646943126215,2.8149518294844365,3.9896646943126215,1.1754096593302845,1.0,1.0,1.0,1.0,1117108422.7205126,6113.073750000001,0.0,2.8149518294844365,0.0,1.0,0.25,1.0096385111852788,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.3333333333333333,0.0,3.069756502181611,4.432314664557619,3.069756502181611,4.432314664557619,3.069756502181611,4.432314664557619,1.386755320116113,1.0,1.0,1.0,1.0,1158645995.3820152,11049.975645587461,0.0,3.069756502181611,0.0,1.0,0.25,0.543488177702276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
