controller,fault_t0_s,mean_err_pre,mean_err_fault,mean_err_post,max_err_fault,recovery_time_s,connectivity_pre,connectivity_fault,connectivity_post,task_completion_pre,task_completion_fault,task_completion_post,control_effort_pre,control_effort_fault,control_effort_post,control_smoothness_pre,control_smoothness_fault,control_smoothness_post,system_utility_pre,system_utility_fault,system_utility_post
openloop,30.0,62.63948727343427,46.296929017789715,39.36965820702596,88.7535629958813,0.0,0.31666666666666665,0.0,0.051041666666666666,0.0,0.0,0.0,1128058737.5506728,1104853118.771095,1056250775.0006449,11160.009294475192,12037.0641926582,11008.924063900702,-91.91789722134726,-76.57202679489995,-66.19591504218486
pid,30.0,37.158036870597606,37.044124754519856,42.89287167982461,71.92030958994302,0.0,0.7104166666666667,0.6854166666666667,0.084375,0.071875,0.0,0.027604166666666666,883786861.0135263,879057295.9266301,892419873.8235573,11823.101579112576,12837.141108143123,10821.767071184875,-62.84931518338905,-65.0937401484558,-73.61766250131292
agentic,30.0,42.342719571801275,35.34339897440243,53.1054134771059,74.28395871530553,0.0,0.12916666666666668,0.0,0.06666666666666667,0.0,0.0,0.0,932022833.0949727,912226648.7517568,908960673.2349412,10587.941008505813,11631.785873134917,11568.149818908194,-64.27472674765615,-58.63649686890012,-74.447635536363
