controller,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,agentic_active_rate,agentic_ref_shift_mean,supervisor_active_rate,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold_rate,throughput_ratio,latency_proxy,control_overhead,control_effort,control_smoothness,task_reassign_rate,task_cost_mean,alive_ratio,failed_count,task_completion_proxy,system_utility,mean_err_m,max_err_m
openloop,41.132405030177175,146.99733234705832,41.132405030177175,146.99733234705832,25.235219632325588,0.13229166666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.03294975986909389,inf,0.06018518518518517,1084213961.1207058,11046.059289851646,0.0,41.132405030177175,1.0,0.0,0.0,-65.70616632916942,41.132405030177175,146.99733234705832
pid,42.49601479630328,280.41892419473095,42.49601479630328,280.41892419473095,32.91098866935225,0.40008680555555554,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.31771239118733996,inf,0.16568287037037033,903696157.6748179,11003.86854136634,0.0,42.49601479630328,1.0,0.0,0.012065972222222223,-73.40656943787775,42.49601479630328,280.41892419473095
agentic,48.02398194522472,325.028097834376,48.065653964905536,325.2051887241668,24.787596287677925,0.31302083333333336,0.008680555555555556,2.2880400758733077,0.9375,2.75,0.05587058308701492,0.9125,0.7204166666666667,0.0625,0.07936408027700037,inf,0.13356481481481478,927617571.0250119,11184.176306971047,0.001736111111111111,48.02398194522472,1.0,0.0,0.008072916666666667,-71.24647406623598,48.02398194522472,325.028097834376
