controller,fault_t0_s,mean_err_pre,mean_err_fault,mean_err_post,max_err_fault,recovery_time_s,connectivity_pre,connectivity_fault,connectivity_post,task_completion_pre,task_completion_fault,task_completion_post,control_effort_pre,control_effort_fault,control_effort_post,control_smoothness_pre,control_smoothness_fault,control_smoothness_post,system_utility_pre,system_utility_fault,system_utility_post
openloop,30.0,40.16062942817721,36.571618305188885,56.59064840950836,91.49595446608846,0.0,0.42270833333333335,0.1353125,0.13125,0.0,0.0009375,0.002916666666666667,1076379976.6713107,1072170629.0122615,1085338297.8645296,11285.981451476297,11418.423164765245,11088.794436758992,-54.184950790965075,-55.52981954566933,-86.60486586298616
pid,30.0,37.14551339971339,36.16138291502001,50.081679478416845,86.71194857768656,0.0,0.35854166666666665,0.23489583333333333,0.17760416666666667,0.0071875,0.0026041666666666665,0.0027604166666666667,898528611.848055,824154754.8264612,932155098.2782121,10938.062793896328,10041.56609869785,10977.72206930369,-53.089364404197404,-52.316458174850126,-68.41373235012506
agentic,30.0,32.30110533600883,29.542607701273447,43.92480800074114,90.3668077518935,0.0,0.28520833333333334,0.17010416666666667,0.16197916666666667,0.0,0.0032291666666666666,0.00921875,885918859.0730227,860432262.66412,899074282.8762288,10622.891203027557,10547.429378665714,10884.431966364911,-46.661024943915315,-44.666754984751265,-63.94858619932721
