controller,fault_t0_s,mean_err_pre,mean_err_fault,mean_err_post,max_err_fault,recovery_time_s,connectivity_pre,connectivity_fault,connectivity_post,task_completion_pre,task_completion_fault,task_completion_post,control_effort_pre,control_effort_fault,control_effort_post,control_smoothness_pre,control_smoothness_fault,control_smoothness_post,system_utility_pre,system_utility_fault,system_utility_post
openloop,30.0,41.93257516609708,36.27961568463566,53.110209285103686,91.49595446608846,0.0,0.3433333333333333,0.07125,0.13875,0.0,0.001875,0.0,1085627432.4687424,1056387052.7463578,1072606446.4194014,11402.588728335557,10740.827487086064,11063.289747185254,-60.45892747181742,-57.72668845430733,-81.03596941152323
pid,30.0,36.6402807466675,35.93395317555035,47.22290322794164,86.71194857768656,0.0,0.2875,0.26479166666666665,0.15520833333333334,0.014375,0.003125,0.005520833333333333,896876721.8076154,823694299.0994581,930150531.8878951,10936.386954409001,10341.796977897515,11075.822187735832,-55.66653772497629,-56.847343069592085,-68.89057242725424
agentic,30.0,35.406891976091394,33.14769788864047,50.64000146898949,90.3668077518935,0.0,0.34770833333333334,0.180625,0.20229166666666668,0.0,0.0,0.0,887191152.6434004,876747547.0263485,902045481.2728192,10378.47034102427,10739.211439684213,11118.57645568442,-49.33176919021485,-50.35872110978503,-72.7496895197912
