controller,wind_phase,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,0.0,19.87284842630494,52.4089044531446,11.971910177268288,0.43572916666666667,0.0020833333333333337,-29.6661127702399,1071065700.3189461,11924.244775952033
openloop,1.0,43.59521843518064,139.54773782976363,23.1748898509966,0.22349999999999998,0.000375,-65.65260828617724,1075432177.9280581,11130.077924817826
openloop,2.0,95.00203359219066,290.4909770943857,68.47427774291191,0.11631944444444445,0.0,-162.8947141128803,1093192068.4791594,10821.73384663164
pid,0.0,19.05415111766419,42.883941772708326,10.420112907437064,0.6065104166666667,0.00140625,-26.44171194176792,909262979.1799237,11853.911521013219
pid,1.0,38.99721676752192,109.24771975228268,20.325743236501683,0.24904166666666666,0.0057083333333333335,-58.07775167069027,908779365.4253315,10894.116679748107
pid,2.0,73.0763235650166,155.38740283044098,36.927036523891196,0.2638888888888889,0.0009722222222222222,-108.68391564446335,910604947.9540014,10783.375868652494
agentic,0.0,17.648883123850702,39.8525336970908,10.302281725041274,0.5275520833333334,0.008958333333333334,-25.31340443222531,916072465.4805965,11599.263648384047
agentic,1.0,39.05436120948061,125.25848061446331,18.31836366064031,0.2935,0.00075,-55.905224870120925,904979786.9495558,10950.876986856176
agentic,2.0,75.60096235418776,209.52208443823037,46.466924183333376,0.3052083333333333,0.014861111111111111,-120.54184487085448,904538042.715498,10644.760156327007
