stress_level,seed,policy,method,alpha,range_scale,buffer_scale,delivered,dropped,generated,throughput_bps,delivery_rate_pct,packet_loss_pct,undelivered_pct,recovery_time_s
S2,6,Static,static,3.0,0.5,0.5,37500.0,200450.0,43750.0,1000.0,85.71428571428571,458.1714285714286,14.285714285714286,0.0
S2,6,FixedRelay,fixed_relay,3.0,0.5,0.5,251850.0,68750.0,255250.0,6716.0,98.66797257590598,26.93437806072478,1.3320274240940255,0.0
S2,6,Greedy,greedy,3.0,0.5,0.5,554950.0,195250.0,557150.0,14798.666666666666,99.6051332675222,35.04442250740375,0.39486673247778875,0.0
S2,6,Agentic,mappo_full,3.0,0.5,0.5,175150.0,89700.0,178200.0,4670.666666666667,98.28843995510663,50.33670033670034,1.7115600448933783,0.0
S2,7,Static,static,3.0,0.5,0.5,28200.0,196000.0,35000.0,752.0,80.57142857142857,560.0,19.428571428571427,0.0
S2,7,FixedRelay,fixed_relay,3.0,0.5,0.5,286250.0,73700.0,290500.0,7633.333333333333,98.53700516351118,25.370051635111874,1.4629948364888123,1.0
S2,7,Greedy,greedy,3.0,0.5,0.5,602150.0,150950.0,603250.0,16057.333333333334,99.81765437215086,25.022793203481143,0.18234562784915043,4.0
S2,7,Agentic,mappo_full,3.0,0.5,0.5,77350.0,82750.0,83450.0,2062.6666666666665,92.690233672858,99.16117435590174,7.309766327142001,0.0
S2,8,Static,static,3.0,0.5,0.5,6950.0,144600.0,13200.0,185.33333333333334,52.65151515151515,1095.4545454545455,47.34848484848485,0.0
S2,8,FixedRelay,fixed_relay,3.0,0.5,0.5,274850.0,90450.0,277050.0,7329.333333333333,99.20591950911388,32.647536545749865,0.7940804908861216,1.0
S2,8,Greedy,greedy,3.0,0.5,0.5,526950.0,167200.0,529700.0,14052.0,99.48083821030772,31.565036813290543,0.5191617896922787,0.0
S2,8,Agentic,mappo_full,3.0,0.5,0.5,103250.0,83750.0,104350.0,2753.3333333333335,98.94585529468137,80.25874460948731,1.0541447053186392,0.0
S2,9,Static,static,3.0,0.5,0.5,37500.0,237650.0,43750.0,1000.0,85.71428571428571,543.2,14.285714285714286,0.0
S2,9,FixedRelay,fixed_relay,3.0,0.5,0.5,238500.0,185350.0,242150.0,6360.0,98.49266983274829,76.54346479454884,1.5073301672517034,0.0
S2,9,Greedy,greedy,3.0,0.5,0.5,504750.0,208500.0,506400.0,13460.0,99.67417061611374,41.17298578199052,0.32582938388625593,0.0
S2,9,Agentic,mappo_full,3.0,0.5,0.5,85100.0,51450.0,87150.0,2269.3333333333335,97.64773379231211,59.036144578313255,2.3522662076878946,0.0
S2,10,Static,static,3.0,0.5,0.5,48900.0,10750.0,53750.0,1304.0,90.97674418604652,20.0,9.023255813953488,0.0
S2,10,FixedRelay,fixed_relay,3.0,0.5,0.5,298700.0,60500.0,302500.0,7965.333333333333,98.74380165289256,20.0,1.256198347107438,1.0
S2,10,Greedy,greedy,3.0,0.5,0.5,800900.0,205650.0,801450.0,21357.333333333332,99.93137438392912,25.65974171813588,0.06862561607087155,1.0
S2,10,Agentic,mappo_full,3.0,0.5,0.5,179650.0,79000.0,180200.0,4790.666666666667,99.69478357380689,43.84017758046615,0.3052164261931188,0.0
