t,wind_phase,mean_err_m,max_err_m,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,throughput_ratio,latency_proxy,control_overhead,task_reassign,task_cost_mean,failed_count,alive_ratio,task_completion_proxy,system_utility,fault_comm_scale,fault_dropout_count,fault_sensor_count,agentic_active,agentic_ref_shift,supervisor_active,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold,sat_frac
0.0,0.0,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,1.1403882032022077,1.0,1.0,1.0,1.0,0.0,7.3190429385894396,0.0,1.0,0.0,-3.4594311417916472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.020833333333333332,0.0,7.330612002667973,8.068460268328067,7.330612002667973,8.068460268328067,7.330612002667973,8.068460268328067,1.1418773919738985,1.0,1.0,1.0,1.0,0.0,7.330612002667973,0.0,1.0,0.0,-3.4724893946418707,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.041666666666666664,0.0,7.3764465871632465,8.156729968463413,7.3764465871632465,8.156729968463413,7.3764465871632465,8.156729968463413,1.1504622230568646,1.0,1.0,1.0,1.0,0.0,7.3764465871632465,0.0,1.0,0.0,-3.5269088102201103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.0625,0.0,7.4600058520492425,8.330526207478387,7.4600058520492425,8.330526207478387,7.4600058520492425,8.330526207478387,1.1640858650753665,1.0,1.0,1.0,1.0,0.0,7.4600058520492425,0.0,1.0,0.0,-3.6240917171246085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.08333333333333333,0.0,7.573086617095357,8.530342441402588,7.573086617095357,8.530342441402588,7.573086617095357,8.530342441402588,1.1780315243741146,1.0,1.0,1.0,1.0,0.0,7.573086617095357,0.0,1.0,0.0,-3.7511181414694725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.10416666666666667,0.0,7.734292591058596,8.75522508462425,7.734292591058596,8.75522508462425,7.734292591058596,8.75522508462425,1.1924396727969822,1.0,1.0,1.0,1.0,0.0,7.734292591058596,0.0,1.0,0.0,-3.9267322638555786,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.125,0.0,7.9334764663108635,9.005238386673097,7.9334764663108635,9.005238386673097,7.9334764663108635,9.005238386673097,1.2067777586894979,1.0,1.0,1.0,1.0,0.0,7.9334764663108635,0.0,1.0,0.0,-4.140254225000362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.14583333333333334,0.0,8.12626101825431,9.276703830799395,8.12626101825431,9.276703830799395,8.12626101825431,9.276703830799395,1.2067287774994837,1.0,1.0,1.0,1.0,0.0,8.12626101825431,0.0,1.0,0.0,-4.332989795753793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.16666666666666666,0.0,8.299158861451552,9.568220821561662,8.299158861451552,9.568220821561662,8.299158861451552,9.568220821561662,1.2231562498965263,1.0,1.0,1.0,1.0,0.0,8.299158861451552,0.0,1.0,0.0,-4.522315111348078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.1875,0.0,8.435313250364988,9.848730723068968,8.435313250364988,9.848730723068968,8.435313250364988,9.848730723068968,1.2546412262519957,1.0,1.0,1.0,1.0,0.0,8.435313250364988,0.0,1.0,0.0,-4.689954476616984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
