Method,Pre Error,Post Error,Post vs Pre %,Connectivity Pre,Connectivity Post,Connectivity %,Utility Pre,Utility Post,Utility Δ
static,28.807696075280507,33.21102627984115,16.65987256108867,0.1666666666666666,0.1666666666666666,0.0,-0.43220000000000003,-0.7168999999999999,-0.28469999999999995
fixed_relay,92.89098641029993,62.53587317981918,-32.67414684637517,0.9720000000000001,0.9560000000000001,-1.6268626679390805,6.566072652240638,11.60333402603916,5.037261373798522
greedy,38.236357979774475,20.695020360946653,1.7900525618697032,0.717,0.99,44.61058702249662,15.450525179328077,22.415046736337967,6.964521557009888
mappo_full,101.07244850158692,84.1053817987442,-16.706909750060262,1.0,1.0,0.0,-0.6475,-0.9249599210205078,-0.27745992102050787
