controller,wind_phase,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,0.0,19.465556802524297,34.841640691285875,8.746242749551154,0.7526041666666666,0.0005208333333333333,-24.448778718742116,365248904.5403486,107.06437786974035
pid,0.0,14.087475681542582,25.574307963100352,3.236062024411742,1.0,0.015625,-12.323537705954323,365560450.14438933,128.48596846663287
agentic,0.0,13.213911917983332,25.223081674694427,3.8753636106707727,1.0,0.030989583333333334,-12.089275528654106,364655364.020489,117.23886776551856
