controller,fault_t0_s,mean_err_pre,mean_err_fault,mean_err_post,max_err_fault,recovery_time_s,connectivity_pre,connectivity_fault,connectivity_post,task_completion_pre,task_completion_fault,task_completion_post,control_effort_pre,control_effort_fault,control_effort_post,control_smoothness_pre,control_smoothness_fault,control_smoothness_post,system_utility_pre,system_utility_fault,system_utility_post
openloop,20.0,13.08569415011712,20.775013888581743,21.35474110321354,30.397165932895692,0.0,0.75,0.75,0.75,0.0,0.0,0.0,356477056.35999995,356477056.35999995,356477056.35999995,0.0,0.0,0.0,-18.168978904831267,-25.85827005361013,-26.437968004284304
pid,20.0,7.212052977334667,15.442715000294879,16.120760278735524,24.432565541384083,13.020833333333336,1.0,1.0,1.0,0.0625,0.0,0.0,356477056.35999995,356477056.35999995,356477056.35999995,0.0,0.0,0.0,-5.471677676727508,-13.702380680005048,-14.380543373457241
agentic,20.0,6.409874240567181,14.503712381532207,15.299635323468157,24.721735176062385,13.1875,1.0,1.0,1.0,0.10833333333333334,0.0,0.0,356477056.35999995,356531558.95392036,356477056.35999995,0.0,3.672923957447795,0.0,-5.0960735475060055,-13.296689964158013,-14.368310551521843
