controller,fault_t0_s,mean_err_pre,mean_err_fault,mean_err_post,max_err_fault,recovery_time_s,connectivity_pre,connectivity_fault,connectivity_post,task_completion_pre,task_completion_fault,task_completion_post,control_effort_pre,control_effort_fault,control_effort_post,control_smoothness_pre,control_smoothness_fault,control_smoothness_post,system_utility_pre,system_utility_fault,system_utility_post,err_fault_vs_pre_pct,err_post_vs_pre_pct,conn_fault_vs_pre_pct,conn_post_vs_pre_pct,task_fault_vs_pre_pct,task_post_vs_pre_pct,utility_fault_vs_pre_pct,utility_post_vs_pre_pct,utility_fault_delta,utility_post_delta,utility_fault_abs_degradation_pct,utility_post_abs_degradation_pct
openloop,20.0,13.08569415011712,20.775013888581743,21.35474110321354,30.397165932895692,0.0,0.75,0.75,0.75,0.0,0.0,0.0,356477056.35999995,356477056.35999995,356477056.35999995,0.0,0.0,0.0,-18.168978904831267,-25.85827005361013,-26.437968004284304,58.76126745936363,63.191504082512964,0.0,0.0,,,42.32098671617822,45.51157851393757,-7.689291148778864,-8.268989099453037,42.32098671617822,45.51157851393757
pid,20.0,7.212052977334667,15.442715000294879,16.120760278735524,24.432565541384083,13.020833333333336,1.0,1.0,1.0,0.0625,0.0,0.0,356477056.35999995,356477056.35999995,356477056.35999995,0.0,0.0,0.0,-5.471677676727508,-13.702380680005048,-14.380543373457241,114.12370442683557,123.52526152259651,0.0,0.0,-100.0,-100.0,150.4237546426555,162.81780877959048,-8.23070300327754,-8.908865696729734,150.4237546426555,162.81780877959048
agentic,20.0,6.409874240567181,14.503712381532207,15.299635323468157,24.721735176062385,13.1875,1.0,1.0,1.0,0.10833333333333334,0.0,0.0,356477056.35999995,356531558.95392036,356477056.35999995,0.0,3.672923957447795,0.0,-5.0960735475060055,-13.296689964158013,-14.368310551521843,126.27140310710432,138.6885412921044,0.0,0.0,-100.0,-100.0,160.9202916756441,181.94864963347374,-8.200616416652007,-9.272237004015837,160.9202916756441,181.94864963347374
