controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility
openloop,"[0.0, 20.0)",18.187681703619894,46.229043607276566,11.836650846870688,0.45372395833333334,0.005520833333333333,-27.755712758823915
openloop,"[20.0, 40.0)",37.91966219622369,108.63467602623925,18.783051521829435,0.2910416666666667,0.0016927083333333332,-55.247505384719794
openloop,"[40.0, 60.0)",87.85395961686729,278.01296088894253,57.75208919049176,0.14434895833333333,0.00041666666666666664,-144.88430401569238
openloop,"[60.0, 80.0)",,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,
pid,"[0.0, 20.0)",18.55719764701445,42.138175954206915,10.44069931639007,0.5827604166666667,0.0017447916666666666,-26.084094880071188
pid,"[20.0, 40.0)",35.524105869233004,79.0556027791851,16.717847094133127,0.29919270833333333,0.004635416666666667,-50.74598942169946
pid,"[40.0, 60.0)",73.5215134997912,176.25590766867487,34.76708003568264,0.16596354166666666,0.00036458333333333335,-107.4587758271405
pid,"[60.0, 80.0)",,,,,,
pid,"[80.0, 1000000000.0)",,,,,,
agentic,"[0.0, 20.0)",16.05100936323696,40.77305065819975,8.945918206979295,0.6584114583333334,0.008984375,-21.70487027854959
agentic,"[20.0, 40.0)",30.902695984297555,76.47914797800105,13.343358366893364,0.3535416666666667,0.005416666666666667,-42.47834601785759
agentic,"[40.0, 60.0)",58.07841732889651,154.6638900653542,28.32891804710597,0.28760416666666666,0.0,-84.96931454266915
agentic,"[60.0, 80.0)",,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,
