t,wind_phase,mean_err_m,max_err_m,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,throughput_ratio,latency_proxy,control_overhead,control_effort,control_smoothness,task_reassign,task_cost_mean,failed_count,alive_ratio,task_completion_proxy,system_utility,fault_comm_scale,fault_dropout_count,fault_sensor_count,agentic_active,agentic_ref_shift,supervisor_active,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold,sat_frac
0.0,0.0,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,1.1403882032022077,1.0,1.0,1.0,1.0,848096727.0207505,,0.0,7.3190429385894396,0.0,1.0,0.0,-3.4594311417916472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.020833333333333332,0.0,7.333138416165797,8.071693351918,7.333138416165797,8.071693351918,7.333138416165797,8.071693351918,1.1389411554687534,1.0,1.0,1.0,1.0,356477056.35999995,10371.123193585941,0.0,7.333138416165797,0.0,1.0,0.0,-3.4720795716345503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.041666666666666664,0.0,7.3684775637355,8.108899486237728,7.3684775637355,8.108899486237728,7.3684775637355,8.108899486237728,1.1357738568873499,1.0,1.0,1.0,1.0,356477056.35999995,0.0,0.0,7.3684775637355,0.0,1.0,0.0,-3.5042514206228503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.0625,0.0,7.419409799346368,8.164949377630762,7.419409799346368,8.164949377630762,7.419409799346368,8.164949377630762,1.131919338815347,1.0,1.0,1.0,1.0,356477056.35999995,0.0,0.0,7.419409799346368,0.0,1.0,0.0,-3.551329138161714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.08333333333333333,0.0,7.487830108837668,8.241697226033056,7.487830108837668,8.241697226033056,7.487830108837668,8.241697226033056,1.1278793669208704,1.0,1.0,1.0,1.0,356616789.02530354,7.389291589398454,0.0,7.487830108837668,0.0,1.0,0.0,-3.615709475758539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.10416666666666667,0.0,7.574777353234414,8.340799211062379,7.574777353234414,8.340799211062379,7.574777353234414,8.340799211062379,1.123901900611132,1.0,1.0,1.0,1.0,440732683.971238,1911.6718941537813,0.0,7.574777353234414,0.0,1.0,0.0,-3.6986792538455457,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.125,0.0,7.683756766331464,8.463586553312881,7.683756766331464,8.463586553312881,7.683756766331464,8.463586553312881,1.1175222815630825,1.0,1.0,1.0,1.0,358495757.11530155,1853.8027254598815,0.0,7.683756766331464,0.0,1.0,0.0,-3.801279047894546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.14583333333333334,0.0,7.834973625326747,8.622485407271542,7.834973625326747,8.622485407271542,7.834973625326747,8.622485407271542,1.091408134465023,1.0,1.0,1.0,1.0,736792739.5402564,6187.839712390432,0.0,7.834973625326747,0.0,1.0,0.0,-3.92638175979177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.16666666666666666,0.0,8.019176450538286,8.87045840481066,8.019176450538286,8.87045840481066,8.019176450538286,8.87045840481066,1.1070163071684163,1.0,1.0,1.0,1.0,1117108422.7205126,6113.073750000001,0.0,8.019176450538286,0.0,1.0,0.0,-4.126192757706702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.1875,0.0,8.171422812880458,9.053037761652059,8.171422812880458,9.053037761652059,8.171422812880458,9.053037761652059,1.0939210944125843,1.0,1.0,1.0,1.0,356477056.35999995,12226.147500000003,0.0,8.171422812880458,0.0,1.0,0.0,-4.265343907293042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
