case_study,baseline,metric,agentic_mean,baseline_mean,improvement_pct
case_study_1,pid,mean_tracking_error_m,33.298807235714634,29.97847070829257,-11.07573685039111
case_study_1,pid,max_tracking_error_m,106.29486122772184,111.30340393186604,4.499900746261242
case_study_1,pid,rmse_m,36.773713588966295,32.986664441374415,-11.480545886421517
case_study_1,pid,formation_error_rel,17.234147235695445,16.77233779159832,-2.7533993760157625
case_study_1,pid,connectivity_rate,0.4246590909090909,0.41444128787878787,2.4654404204272766
case_study_1,pid,throughput_ratio,0.2342453210211175,0.22728406889223404,3.062798093510071
case_study_1,pid,control_overhead,0.21318813131313127,0.20455176767676764,
case_study_1,pid,control_effort,890984735.1209494,874098223.325908,-1.9318780595147484
case_study_1,pid,control_smoothness,10854.125431762415,10555.883843425321,-2.8253587549928594
case_study_1,pid,task_completion_proxy,0.003428030303030303,0.0020265151515151516,69.1588785046729
case_study_1,pid,system_utility,-48.40965901686462,-44.67860206049695,
case_study_1,pid,alive_ratio,1.0,1.0,
case_study_1,pid,steady_state_error_m,51.264236394342404,46.63442722564482,-9.927878273910904
case_study_1,pid,error_variance,267.0369348994772,217.7637542472825,
case_study_1,pid,pre_fault_error_m,,,
case_study_1,pid,fault_window_error_m,,,
case_study_1,pid,post_fault_error_m,,,
case_study_1,pid,peak_fault_error_m,,,
case_study_1,pid,connectivity_pre,,,
case_study_1,pid,connectivity_fault,,,
case_study_1,pid,connectivity_post,,,
case_study_1,pid,control_effort_pre,,,
case_study_1,pid,control_effort_fault,,,
case_study_1,pid,control_effort_post,,,
case_study_1,pid,control_smoothness_pre,,,
case_study_1,pid,control_smoothness_fault,,,
case_study_1,pid,control_smoothness_post,,,
case_study_1,pid,post_vs_pre_error_degradation_pct,,,
case_study_1,pid,connectivity_retention_pct,,,
case_study_1,pid,recovery_time_s,,,
case_study_1,openloop,mean_tracking_error_m,33.298807235714634,37.17233441835977,10.420457157869436
case_study_1,openloop,max_tracking_error_m,106.29486122772184,139.49924765597,23.802555917818356
case_study_1,openloop,rmse_m,36.773713588966295,41.780066895556345,11.982635928049499
case_study_1,openloop,formation_error_rel,17.234147235695445,20.415938741695655,15.584840580962403
case_study_1,openloop,connectivity_rate,0.4246590909090909,0.4219791666666667,0.6350844909225437
case_study_1,openloop,throughput_ratio,0.2342453210211175,0.2527989577226134,-7.339285283705202
case_study_1,openloop,control_overhead,0.21318813131313127,0.21320075757575757,
case_study_1,openloop,control_effort,890984735.1209494,1036578550.2389889,14.04561333865842
case_study_1,openloop,control_smoothness,10854.125431762415,10989.616629998167,1.2329019546132634
case_study_1,openloop,task_completion_proxy,0.003428030303030303,0.003446969696969697,-0.5494505494505529
case_study_1,openloop,system_utility,-48.40965901686462,-55.47837732672209,
case_study_1,openloop,alive_ratio,1.0,1.0,
case_study_1,openloop,steady_state_error_m,51.264236394342404,60.42326121906031,15.158110700964153
case_study_1,openloop,error_variance,267.0369348994772,441.5220920783028,
case_study_1,openloop,pre_fault_error_m,,,
case_study_1,openloop,fault_window_error_m,,,
case_study_1,openloop,post_fault_error_m,,,
case_study_1,openloop,peak_fault_error_m,,,
case_study_1,openloop,connectivity_pre,,,
case_study_1,openloop,connectivity_fault,,,
case_study_1,openloop,connectivity_post,,,
case_study_1,openloop,control_effort_pre,,,
case_study_1,openloop,control_effort_fault,,,
case_study_1,openloop,control_effort_post,,,
case_study_1,openloop,control_smoothness_pre,,,
case_study_1,openloop,control_smoothness_fault,,,
case_study_1,openloop,control_smoothness_post,,,
case_study_1,openloop,post_vs_pre_error_degradation_pct,,,
case_study_1,openloop,connectivity_retention_pct,,,
case_study_1,openloop,recovery_time_s,,,
case_study_3,pid,mean_tracking_error_m,35.954572399132026,42.53427233867955,15.469172452643837
case_study_3,pid,max_tracking_error_m,188.81292690668153,176.8892228785047,-6.7407747256408825
case_study_3,pid,rmse_m,42.30935622695149,49.78590426794631,15.01739930394002
case_study_3,pid,formation_error_rel,20.750524050214157,20.641875482068613,-0.5263502739367141
case_study_3,pid,connectivity_rate,0.35889756944444445,0.34930555555555554,2.746023856858855
case_study_3,pid,throughput_ratio,0.2053411080341379,0.2020675083057665,1.6200525041452134
case_study_3,pid,control_overhead,0.18473379629629627,0.1639293981481481,
case_study_3,pid,control_effort,900742608.6526327,905846575.5393944,0.5634471691547173
case_study_3,pid,control_smoothness,10985.78766798941,11092.53877580713,0.9623685792340346
case_study_3,pid,task_completion_proxy,0.008758680555555556,0.002248263888888889,289.57528957528956
case_study_3,pid,system_utility,-54.91060860212396,-61.429620042970384,
case_study_3,pid,alive_ratio,1.0,1.0,
case_study_3,pid,steady_state_error_m,65.03686523488595,78.15336938607535,16.783030922690305
case_study_3,pid,error_variance,638.6080290434104,843.3310924541296,
case_study_3,pid,pre_fault_error_m,32.301105336008824,37.14551339971339,13.041704422214128
case_study_3,pid,fault_window_error_m,29.542607701273443,36.16138291502001,18.303434991136335
case_study_3,pid,post_fault_error_m,43.92480800074113,50.081679478416845,12.293660160356792
case_study_3,pid,peak_fault_error_m,62.744916089536765,65.70808351672513,4.509593445126312
case_study_3,pid,connectivity_pre,0.28520833333333334,0.35854166666666665,-20.45322486926205
case_study_3,pid,connectivity_fault,0.17010416666666667,0.23489583333333336,-27.583148558758324
case_study_3,pid,connectivity_post,0.16197916666666667,0.17760416666666665,-8.797653958944267
case_study_3,pid,control_effort_pre,885918859.0730226,898528611.8480551,
case_study_3,pid,control_effort_fault,860432262.66412,824154754.8264612,
