method,mean_tracking_error_m_mean,mean_tracking_error_m_std,rmse_m_mean,rmse_m_std,steady_state_error_m_mean,steady_state_error_m_std,formation_error_rel_mean,formation_error_rel_std,connectivity_rate_mean,connectivity_rate_std,control_effort_mean,control_effort_std,control_smoothness_mean,control_smoothness_std,pre_fault_error_m_mean,pre_fault_error_m_std,fault_window_error_m_mean,fault_window_error_m_std,post_fault_error_m_mean,post_fault_error_m_std,peak_fault_error_m_mean,peak_fault_error_m_std,connectivity_retention_pct_mean,connectivity_retention_pct_std,post_vs_pre_error_degradation_pct_mean,post_vs_pre_error_degradation_pct_std
agentic,35.954572399132026,13.469023319741622,42.30935622695149,18.394770131683458,65.03686523488594,34.94273184450375,20.750524050214157,9.1615852054981,0.35889756944444445,0.1217552245631555,900742608.6526327,18577840.499130275,10985.787667989409,393.9482659977862,32.301105336008824,10.020572519150493,29.542607701273447,11.694319230340904,43.92480800074113,20.278523070979087,62.744916089536765,20.57423315019682,54.90413869799062,62.49664030846474,40.25960185949285,53.87860114767284
openloop,47.98710117223696,18.900242166166723,58.22132560842724,26.705431166315794,94.28174083663126,50.95397426767223,29.457263853063967,17.679858015151407,0.29637152777777775,0.09008829273038543,1072725094.2076156,18579165.08159689,11288.929706332561,391.97831782646483,40.16062942817722,13.264379937078118,36.57161830518889,13.013185299320352,56.590648409508354,25.508460129496406,68.25951349881562,20.77540992011078,43.715806904089945,64.65564844266625,43.6941594156077,51.295974021050846
pid,42.53427233867956,14.825057455179287,49.78590426794631,20.321396708133506,78.15336938607535,40.128823096226476,20.641875482068613,7.927445716713963,0.34930555555555565,0.08573722415307197,905846575.5393944,13776847.602318006,11092.53877580713,337.80098773960304,37.14551339971338,8.941662453883552,36.16138291502001,9.158018794003743,50.081679478416845,15.54537389843964,65.70808351672513,16.59535318691367,62.968177534777396,51.840894138812686,35.34853330389399,28.73850777466786
