method,mean_tracking_error_m_mean,mean_tracking_error_m_std,rmse_m_mean,rmse_m_std,steady_state_error_m_mean,steady_state_error_m_std,formation_error_rel_mean,formation_error_rel_std,connectivity_rate_mean,connectivity_rate_std,control_effort_mean,control_effort_std,control_smoothness_mean,control_smoothness_std,throughput_ratio_mean,throughput_ratio_std
agentic,33.298807235714634,8.361456994889014,36.7737135889663,9.801590226254914,51.264236394342404,15.934651204949905,17.234147235695445,4.960539718252634,0.42465909090909093,0.10352897476654847,890984735.1209494,16366183.116184242,10854.125431762415,311.8707942873331,0.2342453210211175,0.10735200242841567
openloop,37.17233441835977,15.884963278889499,41.780066895556345,18.403785870364803,60.423261219060294,30.388532242725322,20.415938741695655,11.719376689443033,0.4219791666666667,0.11702316109279846,1036578550.2389889,60702440.2398136,10989.616629998167,1253.7077827672758,0.2527989577226134,0.0953635372399966
pid,29.978470708292566,7.452438338635269,32.986664441374415,9.329605372114415,46.63442722564482,16.948070796212964,16.77233779159832,4.5238397371847,0.41444128787878787,0.10832042164011677,874098223.325908,42146537.40322966,10555.883843425321,692.2524118503555,0.22728406889223404,0.08883920241384824
