t_s,active_faults,dropout_agent_id,sensor_bad_agent_id,comm_scale
0.0,,,,1.0
0.020833333333333332,,,,1.0
0.041666666666666664,,,,1.0
0.0625,,,,1.0
0.08333333333333333,,,,1.0
0.10416666666666667,,,,1.0
0.125,,,,1.0
0.14583333333333334,,,,1.0
0.16666666666666666,,,,1.0
0.1875,,,,1.0
0.20833333333333334,,,,1.0
0.22916666666666666,,,,1.0
0.25,,,,1.0
0.2708333333333333,,,,1.0
0.2916666666666667,,,,1.0
0.3125,,,,1.0
0.3333333333333333,,,,1.0
0.3541666666666667,,,,1.0
0.375,,,,1.0
0.3958333333333333,,,,1.0
0.4166666666666667,,,,1.0
0.4375,,,,1.0
0.4583333333333333,,,,1.0
0.4791666666666667,,,,1.0
0.5,,,,1.0
0.5208333333333334,,,,1.0
0.5416666666666666,,,,1.0
0.5625,,,,1.0
0.5833333333333334,,,,1.0
0.6041666666666666,,,,1.0
0.625,,,,1.0
0.6458333333333334,,,,1.0
0.6666666666666666,,,,1.0
0.6875,,,,1.0
0.7083333333333334,,,,1.0
0.7291666666666666,,,,1.0
0.75,,,,1.0
0.7708333333333334,,,,1.0
0.7916666666666666,,,,1.0
0.8125,,,,1.0
0.8333333333333334,,,,1.0
0.8541666666666666,,,,1.0
0.875,,,,1.0
0.8958333333333334,,,,1.0
0.9166666666666666,,,,1.0
0.9375,,,,1.0
0.9583333333333334,,,,1.0
0.9791666666666666,,,,1.0
1.0,,,,1.0
1.0208333333333333,,,,1.0
1.0416666666666667,,,,1.0
1.0625,,,,1.0
1.0833333333333333,,,,1.0
1.1041666666666667,,,,1.0
1.125,,,,1.0
1.1458333333333333,,,,1.0
1.1666666666666667,,,,1.0
1.1875,,,,1.0
1.2083333333333333,,,,1.0
1.2291666666666667,,,,1.0
1.25,,,,1.0
1.2708333333333333,,,,1.0
1.2916666666666667,,,,1.0
1.3125,,,,1.0
1.3333333333333333,,,,1.0
1.3541666666666667,,,,1.0
1.375,,,,1.0
1.3958333333333333,,,,1.0
1.4166666666666667,,,,1.0
1.4375,,,,1.0
1.4583333333333333,,,,1.0
1.4791666666666667,,,,1.0
1.5,,,,1.0
1.5208333333333333,,,,1.0
1.5416666666666667,,,,1.0
1.5625,,,,1.0
1.5833333333333333,,,,1.0
1.6041666666666667,,,,1.0
1.625,,,,1.0
1.6458333333333333,,,,1.0
1.6666666666666667,,,,1.0
1.6875,,,,1.0
1.7083333333333333,,,,1.0
1.7291666666666667,,,,1.0
1.75,,,,1.0
1.7708333333333333,,,,1.0
1.7916666666666667,,,,1.0
1.8125,,,,1.0
1.8333333333333333,,,,1.0
1.8541666666666667,,,,1.0
1.875,,,,1.0
1.8958333333333333,,,,1.0
1.9166666666666667,,,,1.0
1.9375,,,,1.0
1.9583333333333333,,,,1.0
1.9791666666666667,,,,1.0
2.0,,,,1.0
2.0208333333333335,,,,1.0
2.0416666666666665,,,,1.0
2.0625,,,,1.0
2.0833333333333335,,,,1.0
2.1041666666666665,,,,1.0
2.125,,,,1.0
2.1458333333333335,,,,1.0
2.1666666666666665,,,,1.0
2.1875,,,,1.0
2.2083333333333335,,,,1.0
2.2291666666666665,,,,1.0
2.25,,,,1.0
2.2708333333333335,,,,1.0
2.2916666666666665,,,,1.0
2.3125,,,,1.0
2.3333333333333335,,,,1.0
2.3541666666666665,,,,1.0
2.375,,,,1.0
2.3958333333333335,,,,1.0
2.4166666666666665,,,,1.0
2.4375,,,,1.0
2.4583333333333335,,,,1.0
2.4791666666666665,,,,1.0
2.5,,,,1.0
2.5208333333333335,,,,1.0
2.5416666666666665,,,,1.0
2.5625,,,,1.0
2.5833333333333335,,,,1.0
2.6041666666666665,,,,1.0
2.625,,,,1.0
2.6458333333333335,,,,1.0
2.6666666666666665,,,,1.0
2.6875,,,,1.0
2.7083333333333335,,,,1.0
2.7291666666666665,,,,1.0
2.75,,,,1.0
2.7708333333333335,,,,1.0
2.7916666666666665,,,,1.0
2.8125,,,,1.0
2.8333333333333335,,,,1.0
2.8541666666666665,,,,1.0
2.875,,,,1.0
2.8958333333333335,,,,1.0
2.9166666666666665,,,,1.0
2.9375,,,,1.0
2.9583333333333335,,,,1.0
2.9791666666666665,,,,1.0
3.0,,,,1.0
3.0208333333333335,,,,1.0
3.0416666666666665,,,,1.0
3.0625,,,,1.0
3.0833333333333335,,,,1.0
3.1041666666666665,,,,1.0
3.125,,,,1.0
3.1458333333333335,,,,1.0
3.1666666666666665,,,,1.0
3.1875,,,,1.0
3.2083333333333335,,,,1.0
3.2291666666666665,,,,1.0
3.25,,,,1.0
3.2708333333333335,,,,1.0
3.2916666666666665,,,,1.0
3.3125,,,,1.0
3.3333333333333335,,,,1.0
3.3541666666666665,,,,1.0
3.375,,,,1.0
3.3958333333333335,,,,1.0
3.4166666666666665,,,,1.0
3.4375,,,,1.0
3.4583333333333335,,,,1.0
3.4791666666666665,,,,1.0
3.5,,,,1.0
3.5208333333333335,,,,1.0
3.5416666666666665,,,,1.0
3.5625,,,,1.0
3.5833333333333335,,,,1.0
3.6041666666666665,,,,1.0
3.625,,,,1.0
3.6458333333333335,,,,1.0
3.6666666666666665,,,,1.0
3.6875,,,,1.0
3.7083333333333335,,,,1.0
3.7291666666666665,,,,1.0
3.75,,,,1.0
3.7708333333333335,,,,1.0
3.7916666666666665,,,,1.0
3.8125,,,,1.0
3.8333333333333335,,,,1.0
3.8541666666666665,,,,1.0
3.875,,,,1.0
3.8958333333333335,,,,1.0
3.9166666666666665,,,,1.0
3.9375,,,,1.0
3.9583333333333335,,,,1.0
3.9791666666666665,,,,1.0
4.0,,,,1.0
4.020833333333333,,,,1.0
4.041666666666667,,,,1.0
4.0625,,,,1.0
4.083333333333333,,,,1.0
